"provnum","provname","address","city","state","zip","pnlty_date","pnlty_type","fine_amt","payden_strt_dt","payden_days","filedate"
"015114","SHADESCREST HEALTH CARE CENTER","331 WEST 25TH STREET","JASPER","AL","35502","2014-03-06","Fine","189763",,,"2015-12-01"
"015128","NHC HEALTHCARE, MOULTON","300 HOSPITAL STREET","MOULTON","AL","35650","2014-08-01","Fine","71500",,,"2015-12-01"
"015131","GOLDEN LIVING CENTER - TRUSSVILLE","119 WATTERSON PARKWAY","TRUSSVILLE","AL","35173","2014-10-09","Payment Denial",,"2014-12-17","70","2015-12-01"
"015134","BIRMINGHAM NURSING AND REHABILITATION CENTER EAST","733 MARY VANN LANE","BIRMINGHAM","AL","35215","2014-03-13","Fine","24180",,,"2015-12-01"
"015135","JOHN KNOX MANOR INC  I I","4401 NARROW LANE ROAD","MONTGOMERY","AL","36116","2015-09-24","Fine","5363",,,"2015-12-01"
"015145","GOLDEN LIVING CENTER - RIVERCHASE","2500 RIVERHAVEN DRIVE","BIRMINGHAM","AL","35244","2014-10-02","Fine","3900",,,"2015-12-01"
"015151","AZALEA GARDENS OF MOBILE","1758 SPRINGHILL AVE","MOBILE","AL","36607","2014-07-31","Fine","6500",,,"2015-12-01"
"015167","MARION REGIONAL NURSING HOME","184 SASSER DRIVE","HAMILTON","AL","35570","2013-03-14","Fine","56583",,,"2015-12-01"
"015169","FLORENCE NURSING AND REHABILITATION CTR,  LLC","2107 CLOYD BLVD","FLORENCE","AL","35630","2014-11-20","Fine","6435",,,"2015-12-01"
"015178","GREENE COUNTY NURSING HOME","509 WILSON AVE","EUTAW","AL","35462","2014-06-26","Fine","15600",,,"2015-12-01"
"015182","GEORGIANA HEALTH AND REHABILITATION, LLC","206 PALMER AVENUE","GEORGIANA","AL","36033","2014-11-06","Fine","3640",,,"2015-12-01"
"015189","GOLDEN LIVING CENTER - PELL CITY","510 WOLF CREEK ROAD, NORTH","PELL CITY","AL","35125","2015-03-12","Fine","44400",,,"2015-12-01"
"015199","CROWNE HEALTH CARE OF EUFAULA","430 RIVERS AVENUE","EUFAULA","AL","36027","2013-12-08","Fine","6500",,,"2015-12-01"
"015199","CROWNE HEALTH CARE OF EUFAULA","430 RIVERS AVENUE","EUFAULA","AL","36027","2013-12-08","Payment Denial",,"2014-01-10","3","2015-12-01"
"015211","TWIN OAKS REHABILITATION AND HEALTHCARE CENTER","857 CRAWFORD LANE","MOBILE","AL","36617","2013-03-30","Fine","122070",,,"2015-12-01"
"015303","FAIRVIEW HEALTH AND REHABILITATION CENTER","1028 BESSEMER RD","BIRMINGHAM","AL","35228","2015-01-23","Fine","4843",,,"2015-12-01"
"015369","OAKS ON PARKWOOD SKILLED NURSING FACILITY","2625 LAUREL OAK DRIVE","BESSEMER","AL","35022","2013-07-18","Fine","26520",,,"2015-12-01"
"015373","HENRY COUNTY HEALTH AND REHABILITATION FACILITY","212 DOTHAN ROAD","ABBEVILLE","AL","36310","2014-07-12","Payment Denial",,"2014-08-15","5","2015-12-01"
"015375","BECKWOOD MANOR, INC","P.O. BOX 1825","ANNISTON","AL","36207","2015-05-21","Fine","715",,,"2015-12-01"
"015379","MOBILE NURSING AND REHABILITATION CENTER","7020 BRUNS DRIVE","MOBILE","AL","36695","2015-03-26","Fine","8970",,,"2015-12-01"
"015382","CANTERBURY HEALTH CARE FACILITY","1720 KNOWLES ROAD","PHENIX CITY","AL","36869","2014-10-30","Fine","16835",,,"2015-12-01"
"015383","WOODLAND VILLAGE REHABILITATION AND HEALTHCARE CEN","1900 OLIVE STREET","CULLMAN","AL","35055","2015-01-29","Fine","89240",,,"2015-12-01"
"015415","SPRINGHILL MANOR NURSING HOME","3900 OLD SHELL ROAD","MOBILE","AL","36608","2014-02-13","Fine","52343",,,"2015-12-01"
"015424","ROANOKE REHABILITATION & HEALTHCARE CENTER","680 SEYMOUR DRIVE","ROANOKE","AL","36274","2014-04-17","Fine","3200",,,"2015-12-01"
"015424","ROANOKE REHABILITATION & HEALTHCARE CENTER","680 SEYMOUR DRIVE","ROANOKE","AL","36274","2013-02-14","Fine","11700",,,"2015-12-01"
"015429","SEA BREEZE HEALTHCARE CENTER","550 CONGRESS STREET","MOBILE","AL","36603","2013-06-20","Fine","7215",,,"2015-12-01"
"015429","SEA BREEZE HEALTHCARE CENTER","550 CONGRESS STREET","MOBILE","AL","36603","2013-06-20","Payment Denial",,"2013-09-20","13","2015-12-01"
"015435","SPRINGHILL SENIOR RESIDENCE","3717 DAUPHIN STREET","MOBILE","AL","36608","2014-03-13","Fine","6400",,,"2015-12-01"
"015436","HILLVIEW TERRACE","100 PERRY HILL RD","MONTGOMERY","AL","36109","2014-10-17","Fine","12610",,,"2015-12-01"
"015454","FAIRVIEW AT REDSTONE VILLAGE","12000 TURNMEYER DRIVE","HUNTSVILLE","AL","35803","2015-01-31","Fine","364130",,,"2015-12-01"
"015454","FAIRVIEW AT REDSTONE VILLAGE","12000 TURNMEYER DRIVE","HUNTSVILLE","AL","35803","2015-01-31","Payment Denial",,"2015-03-12","7","2015-12-01"
"015456","GULF COAST HEALTH AND REHABILITATION, LLC","8002 GRELOT ROAD","MOBILE","AL","36695","2013-01-31","Fine","6670",,,"2015-12-01"
"015459","GALLERIA WOODS SKILLED NURSING FACILITY","3850 GALLERIA WOODS DRIVE","BIRMINGHAM","AL","35244","2014-05-30","Fine","5525",,,"2015-12-01"
"015460","CHARLTON PLACE REHAB AND HEALTHCARE CENTER","65 CHARLTON PLACE","DEATSVILLE","AL","36022","2014-10-02","Fine","12513",,,"2015-12-01"
"015461","LEGACY HEALTH AND REHABILITATION OF PLEASANT GROVE","30 7TH STREET","PLEASANT GROVE","AL","35127","2015-03-26","Fine","4550",,,"2015-12-01"
"025010","KETCHIKAN MED CTR NEW HORIZONS TRANSITIONAL CARE","3100 TONGASS AVENUE","KETCHIKAN","AK","99901","2013-11-26","Payment Denial",,"2013-12-31","10","2015-12-01"
"025015","WRANGELL MEDICAL CENTER LTC","P.O. BOX 1081","WRANGELL","AK","99929","2015-06-12","Fine","1300",,,"2015-12-01"
"025025","PRESTIGE CARE & REHAB CENTER OF ANCHORAGE","9100 CENTENNIAL DRIVE","ANCHORAGE","AK","99504","2015-05-12","Fine","63700",,,"2015-12-01"
"025025","PRESTIGE CARE & REHAB CENTER OF ANCHORAGE","9100 CENTENNIAL DRIVE","ANCHORAGE","AK","99504","2014-08-06","Fine","1170",,,"2015-12-01"
"025025","PRESTIGE CARE & REHAB CENTER OF ANCHORAGE","9100 CENTENNIAL DRIVE","ANCHORAGE","AK","99504","2014-08-06","Fine","1170",,,"2015-12-01"
"025025","PRESTIGE CARE & REHAB CENTER OF ANCHORAGE","9100 CENTENNIAL DRIVE","ANCHORAGE","AK","99504","2014-08-06","Fine","1170",,,"2015-12-01"
"025026","QUYANNA CARE CENTER","1100 GREG KRUSCHEK AVENUE (P.O. BOX 966)","NOME","AK","99762","2014-05-15","Fine","1105",,,"2015-12-01"
"025027","WILDFLOWER COURT","2000 SALMON CREEK LANE","JUNEAU","AK","99801","2013-06-18","Fine","5038",,,"2015-12-01"
"025028","CORDOVA COMMUNITY MED LTC","P.O. BOX 160","CORDOVA","AK","99574","2014-03-27","Fine","21548",,,"2015-12-01"
"025028","CORDOVA COMMUNITY MED LTC","P.O. BOX 160","CORDOVA","AK","99574","2014-03-27","Payment Denial",,"2014-05-13","22","2015-12-01"
"025032","SITKA COMMUNITY HOSPITAL-LTC","209 MOLLER AVENUE","SITKA","AK","99835","2014-12-11","Fine","1983",,,"2015-12-01"
"025032","SITKA COMMUNITY HOSPITAL-LTC","209 MOLLER AVENUE","SITKA","AK","99835","2014-12-11","Fine","3575",,,"2015-12-01"
"025035","UTUQQANAAT INAAT","436 MISSION STREET","KOTZEBUE","AK","99752","2013-01-09","Fine","2925",,,"2015-12-01"
"025035","UTUQQANAAT INAAT","436 MISSION STREET","KOTZEBUE","AK","99752","2013-01-09","Fine","3575",,,"2015-12-01"
"025037","YUKON KUSKOKWIM ELDER'S HOME","1100 CHIEF EDDIE HOFFMAN HWY, PO BOX 528","BETHEL","AK","99559","2014-11-20","Fine","6500",,,"2015-12-01"
"025037","YUKON KUSKOKWIM ELDER'S HOME","1100 CHIEF EDDIE HOFFMAN HWY, PO BOX 528","BETHEL","AK","99559","2014-07-18","Fine","3900",,,"2015-12-01"
"035003","THE TERRACES OF PHOENIX","7550 NORTH 16TH STREET","PHOENIX","AZ","85020","2015-05-06","Payment Denial",,"2015-06-11","12","2015-12-01"
"035083","HERITAGE COURT POST ACUTE OF SCOTTSDALE","3339 NORTH DRINKWATER BOULEVARD","SCOTTSDALE","AZ","85251","2013-06-21","Fine","4225",,,"2015-12-01"
"035086","KINDRED NURSING AND REHABILITATION-HACIENDA","660 SOUTH CORONADO DRIVE","SIERRA VISTA","AZ","85635","2015-03-19","Fine","30550",,,"2015-12-01"
"035087","NORTH MOUNTAIN MEDICAL AND REHABILITATION CENTER","9155 NORTH THIRD STREET","PHOENIX","AZ","85020","2013-01-30","Fine","11050",,,"2015-12-01"
"035087","NORTH MOUNTAIN MEDICAL AND REHABILITATION CENTER","9155 NORTH THIRD STREET","PHOENIX","AZ","85020","2013-01-30","Payment Denial",,"2013-02-28","5","2015-12-01"
"035092","BELLA VITA HEALTH AND REHABILITATION CENTER","5125 NORTH 58TH AVE","GLENDALE","AZ","85301","2015-01-27","Fine","33638",,,"2015-12-01"
"035095","DESERT COVE NURSING CENTER","1750 WEST FRYE ROAD","CHANDLER","AZ","85224","2014-09-24","Fine","37950",,,"2015-12-01"
"035096","PALM VIEW REHABILITATION & CARE","2222 SOUTH AVENUE A","YUMA","AZ","85364","2013-01-17","Payment Denial",,"2013-02-28","6","2015-12-01"
"035106","WESTCHESTER CARE CENTER","6100 SOUTH RURAL ROAD","TEMPE","AZ","85283","2015-01-08","Fine","27625",,,"2015-12-01"
"035106","WESTCHESTER CARE CENTER","6100 SOUTH RURAL ROAD","TEMPE","AZ","85283","2014-04-25","Fine","5655",,,"2015-12-01"
"035107","GRACE HEALTHCARE OF PHOENIX","4202 NORTH 20TH AVENUE","PHOENIX","AZ","85015","2014-04-04","Fine","59700",,,"2015-12-01"
"035112","APACHE JUNCTION HLTH CENTER","2012 WEST SOUTHERN AVE","APACHE JUNCTION","AZ","85120","2015-04-13","Fine","11475",,,"2015-12-01"
"035112","APACHE JUNCTION HLTH CENTER","2012 WEST SOUTHERN AVE","APACHE JUNCTION","AZ","85120","2014-01-30","Fine","9450",,,"2015-12-01"
"035112","APACHE JUNCTION HLTH CENTER","2012 WEST SOUTHERN AVE","APACHE JUNCTION","AZ","85120","2012-12-03","Fine","13195",,,"2015-12-01"
"035125","RIDGECREST HEALTHCARE","16640 NORTH 38TH STREET","PHOENIX","AZ","85032","2015-03-02","Fine","24083",,,"2015-12-01"
"035125","RIDGECREST HEALTHCARE","16640 NORTH 38TH STREET","PHOENIX","AZ","85032","2015-03-02","Payment Denial",,"2015-04-18","10","2015-12-01"
"035125","RIDGECREST HEALTHCARE","16640 NORTH 38TH STREET","PHOENIX","AZ","85032","2013-11-25","Fine","2500",,,"2015-12-01"
"035125","RIDGECREST HEALTHCARE","16640 NORTH 38TH STREET","PHOENIX","AZ","85032","2012-12-08","Payment Denial",,"2013-02-02","62","2015-12-01"
"035128","ACUITY SPECIALTY HOSPITAL OF ARIZONA AT SUN CITY","13818 NORTH THUNDERBIRD BOULEVARD","SUN CITY","AZ","85351","2014-10-27","Fine","25741",,,"2015-12-01"
"035136","LIFE CARE CENTER OF SIERRA VISTA","2305 EAST WILCOX DRIVE","SIERRA VISTA","AZ","85635","2014-06-12","Fine","34000",,,"2015-12-01"
"035140","LIFE CARE CENTER OF TUCSON","6211 NORTH LA CHOLLA BOULEVARD","TUCSON","AZ","85741","2013-10-03","Fine","57558",,,"2015-12-01"
"035160","SOLTERRA SUBACUTE SERVICES","1501 EAST ORANGEWOOD AVENUE","PHOENIX","AZ","85020","2013-08-19","Fine","35600",,,"2015-12-01"
"035160","SOLTERRA SUBACUTE SERVICES","1501 EAST ORANGEWOOD AVENUE","PHOENIX","AZ","85020","2013-08-19","Payment Denial",,"2013-10-16","22","2015-12-01"
"035166","ESTRELLA CENTER","350 EAST LA CANADA","AVONDALE","AZ","85323","2014-12-05","Fine","33638",,,"2015-12-01"
"035169","DESERT HIGHLANDS CARE CENTER","1081 KATHLEEN AVE","KINGMAN","AZ","86401","2015-04-30","Fine","32205",,,"2015-12-01"
"035169","DESERT HIGHLANDS CARE CENTER","1081 KATHLEEN AVE","KINGMAN","AZ","86401","2014-02-10","Fine","23399",,,"2015-12-01"
"035189","LA CANADA CARE CENTER","7970 NORTH LA CANADA DRIVE","TUCSON","AZ","85704","2014-10-17","Payment Denial",,"2014-12-20","18","2015-12-01"
"035189","LA CANADA CARE CENTER","7970 NORTH LA CANADA DRIVE","TUCSON","AZ","85704","2013-06-28","Fine","47450",,,"2015-12-01"
"035190","CATALINA POST ACUTE AND REHABILITATION","2611 NORTH WARREN AVENUE","TUCSON","AZ","85719","2015-06-23","Fine","19250",,,"2015-12-01"
"035199","THE HEALTH CARE CENTER-FORUM TUCSON","2500 NORTH ROSEMONT BOULEVARD","TUCSON","AZ","85712","2014-09-15","Fine","47350",,,"2015-12-01"
"035199","THE HEALTH CARE CENTER-FORUM TUCSON","2500 NORTH ROSEMONT BOULEVARD","TUCSON","AZ","85712","2014-09-15","Payment Denial",,"2014-11-21","17","2015-12-01"
"035214","GOOD SAMARITAN SOCIETY-QUIBURI MISSION","850 SOUTH HIGHWAY 80","BENSON","AZ","85602","2013-05-29","Fine","17583",,,"2015-12-01"
"035214","GOOD SAMARITAN SOCIETY-QUIBURI MISSION","850 SOUTH HIGHWAY 80","BENSON","AZ","85602","2013-05-29","Payment Denial",,"2013-08-01","12","2015-12-01"
"035216","CARING HOUSE","PO BOX 2187","SACATON","AZ","85247","2014-10-31","Fine","30600",,,"2015-12-01"
"035225","SUN CITY HEALTH AND REHABILITATION CENTER","9940 WEST UNION HILLS DRIVE","SUN CITY","AZ","85373","2013-05-02","Fine","45500",,,"2015-12-01"
"035225","SUN CITY HEALTH AND REHABILITATION CENTER","9940 WEST UNION HILLS DRIVE","SUN CITY","AZ","85373","2013-05-02","Payment Denial",,"2013-07-06","5","2015-12-01"
"035242","CHINLE NURSING HOME","PO BOX 910","CHINLE","AZ","86503","2014-11-21","Fine","126978",,,"2015-12-01"
"035242","CHINLE NURSING HOME","PO BOX 910","CHINLE","AZ","86503","2014-11-21","Payment Denial",,"2015-01-01","107","2015-12-01"
"035242","CHINLE NURSING HOME","PO BOX 910","CHINLE","AZ","86503","2013-09-27","Fine","41300",,,"2015-12-01"
"035242","CHINLE NURSING HOME","PO BOX 910","CHINLE","AZ","86503","2013-09-27","Payment Denial",,"2013-12-27","53","2015-12-01"
"035244","GOOD SAMARITAN SOCIETY-PRESCOTT VALLEY","3380 NORTH WINDSONG DRIVE","PRESCOTT VALLEY","AZ","86314","2014-06-12","Fine","4995",,,"2015-12-01"
"035250","IMMANUEL CAMPUS OF CARE","11301 NORTH 99TH AVENUE","PEORIA","AZ","85345","2015-05-27","Fine","18720",,,"2015-12-01"
"035257","THE PEAKS, A SENIOR LIVING COMMUNITY","3150 NORTH WINDING BROOK ROAD","EAST FLAGSTAFF","AZ","86001","2014-04-24","Fine","20000",,,"2015-12-01"
"035270","LA ESTANCIA NURSING AND REHABILITATION CENTER","15810 SOUTH 42ND STREET","PHOENIX","AZ","85048","2015-05-07","Payment Denial",,"2015-06-26","17","2015-12-01"
"035276","OASIS PAVILION NURSING & REHABILITATION CENTER","161 WEST RODEO ROAD","CASA GRANDE","AZ","85122","2014-04-17","Fine","23888",,,"2015-12-01"
"035276","OASIS PAVILION NURSING & REHABILITATION CENTER","161 WEST RODEO ROAD","CASA GRANDE","AZ","85122","2014-04-17","Payment Denial",,"2014-07-17","13","2015-12-01"
"035277","HAVEN OF LAKESIDE, LLC","3401 NORTH LOCKWOOD DRIVE","LAKESIDE","AZ","85929","2014-07-03","Fine","15373",,,"2015-12-01"
"045142","CANYON SPRINGS HEALTH AND REHABILITATION, LLC","1401 PARK AVENUE","HOT SPRINGS","AR","71901","2014-06-27","Fine","5200",,,"2015-12-01"
"045142","CANYON SPRINGS HEALTH AND REHABILITATION, LLC","1401 PARK AVENUE","HOT SPRINGS","AR","71901","2013-07-19","Fine","7280",,,"2015-12-01"
"045143","CONCORDIA NURSING & REHAB, LLC","7 PROFESSIONAL DRIVE","BELLA VISTA","AR","72714","2013-06-06","Fine","45630",,,"2015-12-01"
"045143","CONCORDIA NURSING & REHAB, LLC","7 PROFESSIONAL DRIVE","BELLA VISTA","AR","72714","2012-12-21","Fine","1300",,,"2015-12-01"
"045143","CONCORDIA NURSING & REHAB, LLC","7 PROFESSIONAL DRIVE","BELLA VISTA","AR","72714","2012-12-21","Fine","2600",,,"2015-12-01"
"045143","CONCORDIA NURSING & REHAB, LLC","7 PROFESSIONAL DRIVE","BELLA VISTA","AR","72714","2012-12-21","Fine","1300",,,"2015-12-01"
"045143","CONCORDIA NURSING & REHAB, LLC","7 PROFESSIONAL DRIVE","BELLA VISTA","AR","72714","2012-12-21","Payment Denial",,"2013-01-25","28","2015-12-01"
"045148","CAVE CITY NURSING HOME, INC","442 TAYLOR CIRCLE","CAVE CITY","AR","72521","2013-09-26","Fine","15275",,,"2015-12-01"
"045157","RIVER RIDGE REHABILITATION AND CARE CENTER","1100 EAST MARTIN DRIVE","WYNNE","AR","72396","2013-07-19","Fine","1500",,,"2015-12-01"
"045158","HIGHLANDS OF HEBER SPRINGS  HEALTH AND REHABILITAT","1040 WEDDINGFORD RD","HEBER SPRINGS","AR","72543","2013-06-07","Fine","41600",,,"2015-12-01"
"045158","HIGHLANDS OF HEBER SPRINGS  HEALTH AND REHABILITAT","1040 WEDDINGFORD RD","HEBER SPRINGS","AR","72543","2013-06-07","Payment Denial",,"2013-07-05","52","2015-12-01"
"045165","LINCOLN HEIGHTS HEALTHCARE","505 EAST VICTORY","STAR CITY","AR","71667","2013-10-10","Fine","650",,,"2015-12-01"
"045165","LINCOLN HEIGHTS HEALTHCARE","505 EAST VICTORY","STAR CITY","AR","71667","2013-10-10","Fine","650",,,"2015-12-01"
"045166","CRESTPARK WYNNE, LLC","400 ARKANSAS STREET","WYNNE","AR","72396","2015-03-27","Fine","45045",,,"2015-12-01"
"045166","CRESTPARK WYNNE, LLC","400 ARKANSAS STREET","WYNNE","AR","72396","2015-01-09","Fine","14105",,,"2015-12-01"
"045168","JOHNSON COUNTY HEALTH AND REHAB, LLC","300 SOUTH THOMPSON ROAD","LAMAR","AR","72846","2014-06-18","Fine","38838",,,"2015-12-01"
"045172","DERMOTT CITY NURSING HOME","702 WEST GAINES ST","DERMOTT","AR","71638","2013-06-06","Fine","7150",,,"2015-12-01"
"045172","DERMOTT CITY NURSING HOME","702 WEST GAINES ST","DERMOTT","AR","71638","2013-06-06","Payment Denial",,"2013-07-03","3","2015-12-01"
"045177","CRESTPARK DEWITT, LLC","1325 LIBERTY DRIVE","DE WITT","AR","72042","2012-11-30","Fine","1300",,,"2015-12-01"
"045180","MINE CREEK HEALTH AND REHAB, LLC","1407 NORTH MAIN STREET","NASHVILLE","AR","71852","2013-08-29","Fine","31168",,,"2015-12-01"
"045181","PRESCOTT MANOR NURSING CENTER","700 MANOR DRIVE","PRESCOTT","AR","71857","2013-03-25","Fine","29380",,,"2015-12-01"
"045182","COURTYARD REHABILITATION AND HEALTH CENTER, LLC","2415 W HILLSBORO","EL DORADO","AR","71730","2014-01-24","Fine","14350",,,"2015-12-01"
"045184","LAKE VILLAGE REHABILITATION AND CARE CENTER","903 BORGOGNONI DRIVE","LAKE VILLAGE","AR","71653","2014-09-16","Fine","35621",,,"2015-12-01"
"045184","LAKE VILLAGE REHABILITATION AND CARE CENTER","903 BORGOGNONI DRIVE","LAKE VILLAGE","AR","71653","2013-02-14","Fine","2600",,,"2015-12-01"
"045184","LAKE VILLAGE REHABILITATION AND CARE CENTER","903 BORGOGNONI DRIVE","LAKE VILLAGE","AR","71653","2013-02-14","Payment Denial",,"2013-03-12","3","2015-12-01"
"045189","PINE HILLS HEALTH AND REHABILITATION, LLC","900 MAGNOLIA RD","CAMDEN","AR","71701","2015-07-27","Fine","32111",,,"2015-12-01"
"045189","PINE HILLS HEALTH AND REHABILITATION, LLC","900 MAGNOLIA RD","CAMDEN","AR","71701","2015-07-27","Payment Denial",,"2015-08-25","24","2015-12-01"
"045191","GOOD SAMARITAN SOCIETY - HOT SPRINGS VILLAGE","121 CORTEZ RD","HOT SPRINGS VILLAGE","AR","71909","2014-04-18","Fine","5000",,,"2015-12-01"
"045191","GOOD SAMARITAN SOCIETY - HOT SPRINGS VILLAGE","121 CORTEZ RD","HOT SPRINGS VILLAGE","AR","71909","2014-04-18","Fine","5000",,,"2015-12-01"
"045191","GOOD SAMARITAN SOCIETY - HOT SPRINGS VILLAGE","121 CORTEZ RD","HOT SPRINGS VILLAGE","AR","71909","2013-03-15","Fine","4323",,,"2015-12-01"
"045196","SOUTHRIDGE VILLAGE NURSING AND REHAB","400 SOUTHRIDGE PARKWAY","HEBER SPRINGS","AR","72543","2014-02-06","Fine","14788",,,"2015-12-01"
"045198","BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK","9601 INTERSTATE 630 EXIT 7","LITTLE ROCK","AR","72205","2014-12-11","Fine","24600",,,"2015-12-01"
"045198","BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK","9601 INTERSTATE 630 EXIT 7","LITTLE ROCK","AR","72205","2014-12-11","Payment Denial",,"2014-12-20","3","2015-12-01"
"045201","CHAPEL WOODS HEALTH AND REHABILITATION","1440 EAST CHURCH","WARREN","AR","71671","2013-05-30","Fine","1950",,,"2015-12-01"
"045202","LAKEWOOD HEALTH AND REHAB, LLC","2323 MCCAIN BOULEVARD","NORTH LITTLE ROCK","AR","72116","2014-04-25","Fine","6500",,,"2015-12-01"
"045203","BATESVILLE HEALTH AND REHAB, LLC","1975 WHITE DRIVE","BATESVILLE","AR","72501","2014-02-27","Fine","1300",,,"2015-12-01"
"045212","HIGHLANDS OF NORTHWEST ARKANSAS THERAPY AND LIVING","1513 SOUTH DIXIELAND RD","ROGERS","AR","72756","2014-11-14","Fine","97923",,,"2015-12-01"
"045212","HIGHLANDS OF NORTHWEST ARKANSAS THERAPY AND LIVING","1513 SOUTH DIXIELAND RD","ROGERS","AR","72756","2014-11-14","Payment Denial",,"2014-12-10","37","2015-12-01"
"045212","HIGHLANDS OF NORTHWEST ARKANSAS THERAPY AND LIVING","1513 SOUTH DIXIELAND RD","ROGERS","AR","72756","2014-08-02","Fine","124349",,,"2015-12-01"
"045212","HIGHLANDS OF NORTHWEST ARKANSAS THERAPY AND LIVING","1513 SOUTH DIXIELAND RD","ROGERS","AR","72756","2014-08-02","Payment Denial",,"2014-08-27","9","2015-12-01"
"045212","HIGHLANDS OF NORTHWEST ARKANSAS THERAPY AND LIVING","1513 SOUTH DIXIELAND RD","ROGERS","AR","72756","2014-03-14","Fine","43323",,,"2015-12-01"
"045216","TWIN RIVERS HEALTH AND REHABILITATION","3021 TWIN RIVERS DRIVE","ARKADELPHIA","AR","71923","2013-04-17","Fine","13650",,,"2015-12-01"
"045217","HEALTH CARE AND REHABILITATION CENTER OF WEST MEMP","610 SOUTH AVALON ST","WEST MEMPHIS","AR","72301","2014-10-16","Fine","22848",,,"2015-12-01"
"045220","FAYETTEVILLE HEALTH AND REHABILITATION CENTER","3100 OLD MISSOURI RD","FAYETTEVILLE","AR","72703","2014-07-10","Fine","25936",,,"2015-12-01"
"045254","VILLAGE SPRINGS HEALTH AND REHABILITATION","1208 HIGHWAY 7 NORTH","HOT SPRINGS","AR","71901","2015-03-20","Fine","2600",,,"2015-12-01"
"045254","VILLAGE SPRINGS HEALTH AND REHABILITATION","1208 HIGHWAY 7 NORTH","HOT SPRINGS","AR","71901","2015-03-20","Payment Denial",,"2015-04-16","27","2015-12-01"
"045259","HIGHLANDS OF LITTLE ROCK AT WOODLAND HILLS THERAPY","8701 RILEY DRIVE","LITTLE ROCK","AR","72205","2013-08-03","Fine","65878",,,"2015-12-01"
"045259","HIGHLANDS OF LITTLE ROCK AT WOODLAND HILLS THERAPY","8701 RILEY DRIVE","LITTLE ROCK","AR","72205","2013-08-03","Payment Denial",,"2013-08-29","39","2015-12-01"
"045266","MONTGOMERY COUNTY NURSING HOME","741 SOUTH DRIVE","MOUNT IDA","AR","71957","2015-06-04","Fine","1625",,,"2015-12-01"
"045266","MONTGOMERY COUNTY NURSING HOME","741 SOUTH DRIVE","MOUNT IDA","AR","71957","2015-06-04","Fine","1625",,,"2015-12-01"
"045277","ARKANSAS CONVALESCENT CENTER","6301 SOUTH  HAZEL","PINE BLUFF","AR","71603","2015-03-20","Fine","2275",,,"2015-12-01"
"045277","ARKANSAS CONVALESCENT CENTER","6301 SOUTH  HAZEL","PINE BLUFF","AR","71603","2015-03-20","Payment Denial",,"2015-05-16","33","2015-12-01"
"045287","DE QUEEN THERAPY & LIVING CENTER, INC","322 WEST COLLIN RAYE DRIVE","DE QUEEN","AR","71832","2013-08-07","Fine","3575",,,"2015-12-01"
