"Federal Provider Number","Provider Name","Provider Address","Provider City","Provider State","Provider Zip Code","Penalty Date","Penalty Type","Fine Amount","Payment Denial Start Date","Payment Denial Length in Days","Location","Processing Date"
"035193","ALLEGIANT HEALTHCARE OF MESA","3130 EAST BROADWAY ROAD","MESA","AZ","85204","2018-07-03","Fine","6500",,,"3130 EAST BROADWAY ROAD,MESA,AZ,85204","2020-11-01"
"035201","THE FORUM AT DESERT HARBOR","13840 NORTH DESERT HARBOR DRIVE","PEORIA","AZ","85381","2018-04-19","Fine","30921",,,"13840 NORTH DESERT HARBOR DRIVE,PEORIA,AZ,85381","2020-11-01"
"035214","GOOD SAMARITAN SOCIETY-QUIBURI MISSION","850 SOUTH HIGHWAY 80","BENSON","AZ","85602","2018-02-05","Fine","8775",,,"850 SOUTH HIGHWAY 80,BENSON,AZ,85602","2020-11-01"
"035216","CARING HOUSE","PO BOX 2187","SACATON","AZ","85247","2017-12-15","Payment Denial",,"2018-02-16","59","PO BOX 2187,SACATON,AZ,85247","2020-11-01"
"035232","MOUNTAIN VIEW CARE CENTER","1313 WEST MAGEE ROAD","TUCSON","AZ","85704","2018-11-15","Fine","6633",,,"1313 WEST MAGEE ROAD,TUCSON,AZ,85704","2020-11-01"
"035242","CHINLE NURSING HOME","PO BOX 910","CHINLE","AZ","86503","2019-03-15","Payment Denial",,"2019-06-15","90","PO BOX 910,CHINLE,AZ,86503","2020-11-01"
"045098","HOT SPRINGS NURSING AND REHABILITATION- A WATERS C","552 GOLF LINKS ROAD","HOT SPRINGS","AR","71901","2018-07-27","Fine","11177",,,"552 GOLF LINKS ROAD,HOT SPRINGS,AR,71901","2020-11-01"
"045098","HOT SPRINGS NURSING AND REHABILITATION- A WATERS C","552 GOLF LINKS ROAD","HOT SPRINGS","AR","71901","2019-06-14","Fine","11278",,,"552 GOLF LINKS ROAD,HOT SPRINGS,AR,71901","2020-11-01"
"045098","HOT SPRINGS NURSING AND REHABILITATION- A WATERS C","552 GOLF LINKS ROAD","HOT SPRINGS","AR","71901","2019-08-30","Fine","65520",,,"552 GOLF LINKS ROAD,HOT SPRINGS,AR,71901","2020-11-01"
"045135","MAGNOLIA HEALTHCARE LLC","2642 NORTH DUDNEY ROAD","MAGNOLIA","AR","71753","2019-11-06","Fine","42822",,,"2642 NORTH DUDNEY ROAD,MAGNOLIA,AR,71753","2020-11-01"
"045135","MAGNOLIA HEALTHCARE LLC","2642 NORTH DUDNEY ROAD","MAGNOLIA","AR","71753","2019-11-06","Payment Denial",,"2019-11-27","3","2642 NORTH DUDNEY ROAD,MAGNOLIA,AR,71753","2020-11-01"
"045139","SOMERSET SENIOR LIVING AT MCGEHEE","700 MARK DRIVE","MCGEHEE","AR","71654","2019-07-17","Fine","70617",,,"700 MARK DRIVE,MCGEHEE,AR,71654","2020-11-01"
"045140","SEARCY HEALTHCARE LLC","1205 SKYLINE DRIVE","SEARCY","AR","72143","2018-02-21","Fine","12678",,,"1205 SKYLINE DRIVE,SEARCY,AR,72143","2020-11-01"
"045142","SOMERSET SENIOR LIVING AT CANYON SPRINGS","1401 PARK AVENUE","HOT SPRINGS","AR","71901","2018-10-31","Fine","11050",,,"1401 PARK AVENUE,HOT SPRINGS,AR,71901","2020-11-01"
"045146","THE WATERS OF MOUNTAIN VIEW, LLC","706 OAK GROVE ST","MOUNTAIN VIEW","AR","72560","2019-03-28","Fine","11278",,,"706 OAK GROVE ST,MOUNTAIN VIEW,AR,72560","2020-11-01"
"045157","RIVER RIDGE REHABILITATION AND CARE CENTER","1100 EAST MARTIN DRIVE","WYNNE","AR","72396","2018-09-27","Fine","11050",,,"1100 EAST MARTIN DRIVE,WYNNE,AR,72396","2020-11-01"
"045157","RIVER RIDGE REHABILITATION AND CARE CENTER","1100 EAST MARTIN DRIVE","WYNNE","AR","72396","2019-07-19","Fine","6633",,,"1100 EAST MARTIN DRIVE,WYNNE,AR,72396","2020-11-01"
"045158","SOMERSET SENIOR LIVING AT SEVEN SPRINGS","1040 WEDDING FORD ROAD","HEBER SPRINGS","AR","72543","2018-08-07","Fine","18576",,,"1040 WEDDING FORD ROAD,HEBER SPRINGS,AR,72543","2020-11-01"
"045158","SOMERSET SENIOR LIVING AT SEVEN SPRINGS","1040 WEDDING FORD ROAD","HEBER SPRINGS","AR","72543","2019-07-31","Fine","16534",,,"1040 WEDDING FORD ROAD,HEBER SPRINGS,AR,72543","2020-11-01"
"045158","SOMERSET SENIOR LIVING AT SEVEN SPRINGS","1040 WEDDING FORD ROAD","HEBER SPRINGS","AR","72543","2019-07-31","Payment Denial",,"2019-08-28","2","1040 WEDDING FORD ROAD,HEBER SPRINGS,AR,72543","2020-11-01"
"045166","CRESTPARK WYNNE, LLC","400 ARKANSAS STREET","WYNNE","AR","72396","2017-12-13","Fine","22294",,,"400 ARKANSAS STREET,WYNNE,AR,72396","2020-11-01"
"045166","CRESTPARK WYNNE, LLC","400 ARKANSAS STREET","WYNNE","AR","72396","2018-07-13","Fine","28168",,,"400 ARKANSAS STREET,WYNNE,AR,72396","2020-11-01"
"045166","CRESTPARK WYNNE, LLC","400 ARKANSAS STREET","WYNNE","AR","72396","2018-07-13","Payment Denial",,"2018-08-11","39","400 ARKANSAS STREET,WYNNE,AR,72396","2020-11-01"
"045166","CRESTPARK WYNNE, LLC","400 ARKANSAS STREET","WYNNE","AR","72396","2019-05-10","Fine","31259",,,"400 ARKANSAS STREET,WYNNE,AR,72396","2020-11-01"
"045166","CRESTPARK WYNNE, LLC","400 ARKANSAS STREET","WYNNE","AR","72396","2019-05-10","Payment Denial",,"2019-06-07","14","400 ARKANSAS STREET,WYNNE,AR,72396","2020-11-01"
"045172","DERMOTT CITY NURSING HOME","702 WEST GAINES ST","DERMOTT","AR","71638","2019-01-18","Fine","13780",,,"702 WEST GAINES ST,DERMOTT,AR,71638","2020-11-01"
"045172","DERMOTT CITY NURSING HOME","702 WEST GAINES ST","DERMOTT","AR","71638","2019-01-18","Payment Denial",,"2019-02-19","41","702 WEST GAINES ST,DERMOTT,AR,71638","2020-11-01"
"045178","GENERAL BAPTIST NURSING HOME OF PIGGOTT","450 S 9TH AVE","PIGGOTT","AR","72454","2018-07-11","Fine","8125",,,"450 S 9TH AVE,PIGGOTT,AR,72454","2020-11-01"
"045180","NASHVILLE WELLNESS, LLC","1407 NORTH MAIN STREET","NASHVILLE","AR","71852","2018-09-28","Fine","10384",,,"1407 NORTH MAIN STREET,NASHVILLE,AR,71852","2020-11-01"
"045182","COURTYARD REHABILITATION AND HEALTH CENTER, LLC","2415 W HILLSBORO","EL DORADO","AR","71730","2019-10-11","Fine","8297",,,"2415 W HILLSBORO,EL DORADO,AR,71730","2020-11-01"
"045184","LAKE VILLAGE REHABILITATION AND CARE CENTER","903 BORGOGNONI DRIVE","LAKE VILLAGE","AR","71653","2018-02-08","Fine","7150",,,"903 BORGOGNONI DRIVE,LAKE VILLAGE,AR,71653","2020-11-01"
"045184","LAKE VILLAGE REHABILITATION AND CARE CENTER","903 BORGOGNONI DRIVE","LAKE VILLAGE","AR","71653","2018-08-03","Fine","8199",,,"903 BORGOGNONI DRIVE,LAKE VILLAGE,AR,71653","2020-11-01"
"045189","SOMERSET SENIOR LIVING AT PINE HILLS","900 MAGNOLIA RD","CAMDEN","AR","71701","2018-07-27","Fine","6500",,,"900 MAGNOLIA RD,CAMDEN,AR,71701","2020-11-01"
"045190","SOMERSET SENIOR LIVING AT CROSSETT","1101 WATERWELL RD","CROSSETT","AR","71635","2018-11-15","Fine","18201",,,"1101 WATERWELL RD,CROSSETT,AR,71635","2020-11-01"
"045191","GOOD SAMARITAN SOCIETY - HOT SPRINGS VILLAGE","121 CORTEZ RD","HOT SPRINGS VILLAGE","AR","71909","2019-05-10","Fine","6633",,,"121 CORTEZ RD,HOT SPRINGS VILLAGE,AR,71909","2020-11-01"
"045191","GOOD SAMARITAN SOCIETY - HOT SPRINGS VILLAGE","121 CORTEZ RD","HOT SPRINGS VILLAGE","AR","71909","2019-05-10","Payment Denial",,"2019-06-05","14","121 CORTEZ RD,HOT SPRINGS VILLAGE,AR,71909","2020-11-01"
"045192","SOMERSET SENIOR LIVING AT MOUNT VISTA","202 TIMS AVENUE","HARRISON","AR","72601","2018-03-20","Fine","11050",,,"202 TIMS AVENUE,HARRISON,AR,72601","2020-11-01"
"045192","SOMERSET SENIOR LIVING AT MOUNT VISTA","202 TIMS AVENUE","HARRISON","AR","72601","2018-12-13","Fine","7150",,,"202 TIMS AVENUE,HARRISON,AR,72601","2020-11-01"
"045194","BENTLEY REHABILITATION AND HEALTH CENTER","1100 EAST 36TH STREET","TEXARKANA","AR","71854","2018-08-16","Fine","11050",,,"1100 EAST 36TH STREET,TEXARKANA,AR,71854","2020-11-01"
"045194","BENTLEY REHABILITATION AND HEALTH CENTER","1100 EAST 36TH STREET","TEXARKANA","AR","71854","2019-03-01","Payment Denial",,"2019-06-01","6","1100 EAST 36TH STREET,TEXARKANA,AR,71854","2020-11-01"
"045195","WEST MEMPHIS WELLNESS, LLC","800 WEST BROADWAY","WEST MEMPHIS","AR","72301","2018-10-04","Fine","10078",,,"800 WEST BROADWAY,WEST MEMPHIS,AR,72301","2020-11-01"
"045197","SOMERSET SENIOR LIVING AT HARRISON","115 ORENDORFF AVENUE","HARRISON","AR","72601","2019-07-05","Fine","6633",,,"115 ORENDORFF AVENUE,HARRISON,AR,72601","2020-11-01"
"045203","BATESVILLE HEALTHCARE LLC","1975 WHITE DRIVE","BATESVILLE","AR","72501","2018-01-11","Fine","13975",,,"1975 WHITE DRIVE,BATESVILLE,AR,72501","2020-11-01"
"045203","BATESVILLE HEALTHCARE LLC","1975 WHITE DRIVE","BATESVILLE","AR","72501","2018-01-11","Payment Denial",,"2018-02-13","22","1975 WHITE DRIVE,BATESVILLE,AR,72501","2020-11-01"
"045212","THE WATERS OF ROGERS, LLC","1513 SOUTH DIXIELAND RD","ROGERS","AR","72758","2018-01-24","Fine","22100",,,"1513 SOUTH DIXIELAND RD,ROGERS,AR,72758","2020-11-01"
"045212","THE WATERS OF ROGERS, LLC","1513 SOUTH DIXIELAND RD","ROGERS","AR","72758","2019-10-24","Fine","7296",,,"1513 SOUTH DIXIELAND RD,ROGERS,AR,72758","2020-11-01"
"045212","THE WATERS OF ROGERS, LLC","1513 SOUTH DIXIELAND RD","ROGERS","AR","72758","2019-10-24","Payment Denial",,"2019-12-26","30","1513 SOUTH DIXIELAND RD,ROGERS,AR,72758","2020-11-01"
